community_id,eu_count,load_kW,cv_tol,avg_start,stop_updates,price_update_count,avg_samples,formal_cv,held_cv,lambda_step,max_age,runtime_s,success,formal_stable,no_nan_inf,audit_pass,stop_reason,delay_hash,update_hash,qre_hash,error_message
46,80,1432.69658220973,14.3269658220973,1841,3739,3739,1898,14.2960927339127,1.87963731736477,1.25555692759294e-07,6,5.8185376,1,1,1,1,dynamic_average_price_step_and_relative_cv,236740467,1927766571,3844286737,
47,110,2147.58052952024,21.4758052952024,1090,1978,1978,888,18.8166249469633,4.9456453340797,2.07935026155792e-07,6,5.315622,1,1,1,1,dynamic_average_price_step_and_relative_cv,1907068929,3944707964,1585886982,
48,80,1673.40537922999,16.7340537922999,659,1297,1297,638,16.640785475908,3.56668099965776,3.78304399625828e-07,6,3.1213905,1,1,1,1,dynamic_average_price_step_and_relative_cv,2261175945,105316196,952052613,
49,400,8334.45018689556,83.3445018689556,8788,13303,13303,4515,19.396361623903,4.98881967926172,1.63590867519048e-08,6,98.0622912,1,1,1,1,dynamic_average_price_step_and_relative_cv,1228407103,1618257572,1191705919,
50,68,1270.86431814191,12.7086431814191,798,1951,1951,1153,12.6602892217685,1.27601021662082,1.51834784564708e-07,6,3.1567619,1,1,1,1,dynamic_average_price_step_and_relative_cv,2613813446,4026786587,274474757,
51,90,1856.79760643367,18.5679760643367,1596,2820,2820,1224,18.5210911446217,4.5987240969929,2.17813273473144e-07,6,4.6945501,1,1,1,1,dynamic_average_price_step_and_relative_cv,2476973900,2185413711,3371745899,
52,90,1741.27740045898,17.4127740045898,1366,2552,2552,1186,17.361333666615,3.77539007633675,2.91426413112639e-07,6,4.9212624,1,1,1,1,dynamic_average_price_step_and_relative_cv,2285136158,2802859163,1391177207,
53,90,1900.97499470887,19.0097499470887,1307,2301,2301,994,18.8810210630423,4.94454082292805,3.35012520974454e-07,6,5.0339083,1,1,1,1,dynamic_average_price_step_and_relative_cv,2777050257,2442408712,946944673,
54,90,1853.98281257689,18.5398281257689,1359,2418,2418,1059,18.4779853459299,4.61252171118997,3.01211315528738e-07,6,5.0993692,1,1,1,1,dynamic_average_price_step_and_relative_cv,1590754960,1387481315,2289700649,
55,90,1698.75722548304,16.9875722548304,903,1806,1806,903,16.9267121161581,3.59754027493767,2.04169356365913e-07,6,4.3906469,1,1,1,1,dynamic_average_price_step_and_relative_cv,1292685789,2035583866,804247612,
56,90,1745.24984229348,17.4524984229348,901,1769,1769,868,17.3863020556141,3.92055562553929,2.16097975305751e-07,6,3.7363747,1,1,1,1,dynamic_average_price_step_and_relative_cv,3259225223,433374170,3240010752,
57,90,1832.404374741,18.32404374741,968,1772,1772,804,18.2556108919712,4.58341774307451,2.74505695022076e-07,6,3.9066175,1,1,1,1,dynamic_average_price_step_and_relative_cv,596834354,1729149322,848953826,
58,90,1916.32939749569,19.1632939749569,919,1624,1624,705,18.6294866929268,4.92857868849507,3.50229210618891e-07,6,3.7956587,1,1,1,1,dynamic_average_price_step_and_relative_cv,3517190089,306019231,54933582,
59,90,1823.43382300111,18.2343382300111,874,1571,1571,697,18.1510555135201,4.57994471128569,3.63038404213589e-07,6,3.7532714,1,1,1,1,dynamic_average_price_step_and_relative_cv,774323741,2779057015,2870372207,
60,50,835.845928990676,8.35845928990676,307,1112,1112,805,8.31739727623567,0.438728871819237,8.99546454408151e-08,6,1.7839398,1,1,1,1,dynamic_average_price_step_and_relative_cv,3610107042,3352564251,295118316,
61,70,1279.66552090227,12.7966552090227,497,1357,1357,860,12.7327208847638,1.38075969320576,1.60534674831236e-07,6,2.3148597,1,1,1,1,dynamic_average_price_step_and_relative_cv,4095522985,4168750778,1343843857,
62,90,1545.98391835031,15.4598391835031,679,1599,1599,920,15.3905970650719,2.64121389366304,1.77041321089422e-07,6,3.9763383,1,1,1,1,dynamic_average_price_step_and_relative_cv,2197156862,2880757006,3508363107,
63,120,2665.01299902289,26.6501299902289,1356,2312,2312,956,18.8589068915446,4.94169540413009,1.91428278020767e-07,6,6.6482296,1,1,1,1,dynamic_average_price_step_and_relative_cv,2286278547,2601471763,272787870,
64,90,1847.87792685224,18.4787792685224,864,1585,1585,721,18.3873703311649,4.72394257126024,3.34367493720622e-07,6,3.9838553,1,1,1,1,dynamic_average_price_step_and_relative_cv,3046846153,2610112187,491401646,
65,420,8044.83175130709,80.4483175130709,5559,8693,8693,3134,19.3242607747559,4.98295470739004,1.79719445853044e-08,6,63.1370812,1,1,1,1,dynamic_average_price_step_and_relative_cv,369658441,4188492277,271810750,
66,100,1856.3994137487,18.563994137487,1159,2170,2170,1011,18.501225598949,4.65207511238458,1.72703503512062e-07,6,5.306994,1,1,1,1,dynamic_average_price_step_and_relative_cv,3279691435,704579560,3125865424,
67,50,992.73804080379,9.9273804080379,410,1210,1210,800,9.87587627744844,0.523336512389903,1.25294067038206e-07,6,1.6985738,1,1,1,1,dynamic_average_price_step_and_relative_cv,1415017855,3417172265,1635457291,
68,80,1664.12773651074,16.6412773651074,1294,2446,2446,1152,16.5853354355937,3.29339336902115,2.18797146955829e-07,6,4.5970932,1,1,1,1,dynamic_average_price_step_and_relative_cv,3805313451,2698092965,1827605118,
69,80,1424.32510053899,14.2432510053899,1131,2567,2567,1436,14.2050355356328,1.93162378810428,1.2322593370695e-07,6,4.2380681,1,1,1,1,dynamic_average_price_step_and_relative_cv,3981553488,852819568,1707066927,
70,80,1556.76243831768,15.5676243831768,1097,2235,2235,1138,15.515653743437,2.64562097225848,2.22228905166766e-07,6,4.0365403,1,1,1,1,dynamic_average_price_step_and_relative_cv,3587982072,1504745745,37712554,
71,80,1619.35427509088,16.1935427509088,1319,2594,2594,1275,16.1509273166668,2.96698479079464,1.73662519864504e-07,6,4.6654501,1,1,1,1,dynamic_average_price_step_and_relative_cv,3962481319,1701126253,361217936,
72,90,1920.50882910861,19.2050882910861,1299,2331,2331,1032,18.8779377812791,4.95584107055197,3.94901949168913e-07,6,5.0233926,1,1,1,1,dynamic_average_price_step_and_relative_cv,3068794742,2026584649,783136070,
73,80,1461.89088020408,14.6189088020408,965,2109,2109,1144,14.5742733487677,2.12238793968959,1.84490042368091e-07,6,3.6525367,1,1,1,1,dynamic_average_price_step_and_relative_cv,3344176618,1333666811,664891551,
74,200,3891.12317973313,38.9112317973313,3488,5708,5708,2220,19.2385350082395,4.97926046360544,7.38921263065961e-08,6,21.3461704,1,1,1,1,dynamic_average_price_step_and_relative_cv,359240693,1726461679,3155861466,
75,80,1642.87502138698,16.4287502138698,935,1870,1870,935,16.3686183892943,3.21460230105453,1.74489919124721e-07,6,3.3546393,1,1,1,1,dynamic_average_price_step_and_relative_cv,3946178763,2053011852,2454457880,
76,377,7359.04921719744,73.5904921719744,5250,8275,8275,3025,19.3236402848111,4.98333393560893,1.93002071824377e-08,6,56.7826234,1,1,1,1,dynamic_average_price_step_and_relative_cv,2044209013,4170877297,3409232232,
77,80,1758.79454218663,17.5879454218663,812,1511,1511,699,17.4987030042345,4.10087290876641,3.41035161333103e-07,6,3.1488503,1,1,1,1,dynamic_average_price_step_and_relative_cv,1202074721,3882965358,1641948788,
78,80,1560.96759955693,15.6096759955693,849,1803,1803,954,15.5542391891936,2.72226484648058,1.68536062911118e-07,6,3.7048706,1,1,1,1,dynamic_average_price_step_and_relative_cv,1699058028,3134007001,2359193217,
79,90,2040.8350721017,20.408350721017,1096,1931,1931,835,18.7778582326124,4.9415365977419,2.408258727854e-07,6,4.1113907,1,1,1,1,dynamic_average_price_step_and_relative_cv,926364473,3442901732,2532772486,
80,60,1212.69057339886,12.1269057339886,465,1195,1195,730,12.0584363620103,1.1728336949416,1.88074479393063e-07,6,1.8258989,1,1,1,1,dynamic_average_price_step_and_relative_cv,4085137377,1180235935,738710790,
81,85,1605.93542245161,16.0593542245161,838,1758,1758,920,15.9960582477249,2.99412124182675,1.86977371002817e-07,6,3.200365,1,1,1,1,dynamic_average_price_step_and_relative_cv,3837496814,3823950343,1821310021,
82,90,1938.32071284533,19.3832071284533,923,1629,1629,706,18.6128813241531,4.93910719664865,3.53204677228103e-07,6,3.7569725,1,1,1,1,dynamic_average_price_step_and_relative_cv,1925544633,655076313,2686427072,
